run,domain,top_population,purity
heart_20251110_163555,D0,vCM-His-Purkinje,0.5734597156398105
heart_20251110_163555,D1,vCM-LV-Trabecular,0.4630241685602148
heart_20251110_163555,D2,aCM-RA,0.501909653628342
heart_20251110_163555,D3,vCM-LV-Compact,0.4037277775386337
heart_20251110_163555,D4,EPDC,0.3634633682207421
heart_20251110_163555,D5,VIC,0.5960523295845765
heart_20251110_163555,D6,vEndocardial,0.2812452077902162
heart_20251110_163555,D7,VSMC,0.2408937863483318
heart_20251110_163555,D8,vCM-LV-AV,0.3471570651154063
heart_20251110_180023,D0,vCM-RV-Compact,0.3965894868585732
heart_20251110_180023,D1,ncCM-IFT-like,0.4871654833424358
heart_20251110_180023,D10,aCM-RA,0.7360456462416274
heart_20251110_180023,D11,vCM-RV-AV,0.3316062176165803
heart_20251110_180023,D12,VSMC,0.3372093023255814
heart_20251110_180023,D13,aCM-LA,0.6177690993409812
heart_20251110_180023,D14,vCM-LV-Compact,0.4649914089347079
heart_20251110_180023,D15,vCM-RV-Trabecular,0.3875609756097561
heart_20251110_180023,D16,aCM-LA,0.4719309068476249
heart_20251110_180023,D2,aCM-RA,0.6851076555023924
heart_20251110_180023,D3,vCM-LV-Compact,0.5089962825278811
heart_20251110_180023,D4,vCM-LV-Trabecular,0.4504198966408269
heart_20251110_180023,D5,VIC,0.7502648305084746
heart_20251110_180023,D6,vCM-LV-AV,0.4253080082135523
heart_20251110_180023,D7,VIC,0.7387862796833773
heart_20251110_180023,D8,EPDC,0.4562135112593828
heart_20251110_180023,D9,vCM-LV-Trabecular,0.3979413053000438
heart_20251114_131458,D0,vCM-LV-Compact,0.508068433266771
heart_20251114_131458,D1,aCM-RA,0.5377481147612031
heart_20251114_131458,D2,vCM-LV-Trabecular,0.4281361097003555
heart_20251114_131458,D3,vCM-RV-Compact,0.3623879902246014
heart_20251114_131458,D4,VIC,0.5028413028413028
heart_20251114_131458,D5,vCM-RV-Trabecular,0.3337763600921495
heart_20251114_131458,D6,VSMC,0.8481308411214953
heart_20251114_131458,D7,EPDC,0.4742907801418439
heart_20251114_131458,D8,vCM-LV-Trabecular,0.2468167202572347
